gene_id,gene_symbol,pathway_id,pathway_name,degree
hsa:223,ALDH9A1,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),1
hsa:224,ALDH3A2,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),1
hsa:2990,GUSB,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),5
hsa:501,ALDH7A1,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),1
hsa:51171,HSD17B14,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),1
hsa:54490,UGT2B28; UDP-glucuronosyltransferase 2B28 isoform 1 precursor,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54575,UGT1A10,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54576,UGT1A8,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54577,UGT1A7,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54578,UGT1A6,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54579,UGT1A5,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54600,UGT1A9,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54657,UGT1A4,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54658,UGT1A1,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:54659,UGT1A3,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:55586,MIOX,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),4
hsa:574537,UGT2A2,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:7358,UGDH,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),5
hsa:7363,UGT2B4,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:7364,UGT2B7,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:7365,UGT2B10,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:7366,UGT2B15,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:7367,UGT2B17,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:79799,UGT2A3; UDP-glucuronosyltransferase 2A3 precursor,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),8
hsa:9104,RGN,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),3
hsa:9365,KL,path:hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),5
hsa:109703458,HTD2; hydroxyacyl-thioester dehydratase type 2,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),39
hsa:197322,ACSF3; malonate--CoA ligase ACSF3,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),9
hsa:2180,ACSL1,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),10
hsa:2181,ACSL3,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),10
hsa:2182,ACSL4,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),10
hsa:2194,FASN,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),179
hsa:23205,ACSBG1,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),9
hsa:23305,ACSL6,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),10
hsa:27349,MCAT,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),27
hsa:31,ACACA,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),15
hsa:32,ACACB,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),8
hsa:51102,MECR,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),42
hsa:51703,ACSL5,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),10
hsa:54995,OXSM,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),119
hsa:55301,OLAH,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),16
hsa:7923,HSD17B8,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),3
hsa:81616,ACSBG2,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),9
hsa:84869,CBR4,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),11
hsa:10449,ACAA2,path:hsa00062,Fatty acid elongation - Homo sapiens (human),23
hsa:10965,ACOT2,path:hsa00062,Fatty acid elongation - Homo sapiens (human),4
hsa:11332,ACOT7,path:hsa00062,Fatty acid elongation - Homo sapiens (human),4
hsa:117145,THEM4,path:hsa00062,Fatty acid elongation - Homo sapiens (human),4
hsa:122970,ACOT4,path:hsa00062,Fatty acid elongation - Homo sapiens (human),4
