pathway,gene_symbol,entrez,tdc_idx,weight,matched_via
Hypoxia,BCKDK,10295,17583,2.645038791946143,symbol
Hypoxia,TBC1D9B,23061,7238,2.7205868593299334,symbol
Hypoxia,TPI1,7167,13968,3.7553822853297127,symbol
JAK-STAT,OAS1,4938,14886,15.02871458808529,symbol
JAK-STAT,HERC6,55008,5755,8.7696758787049,symbol
JAK-STAT,OAS3,4940,14887,10.618841819069107,symbol
JAK-STAT,PLSCR1,5359,4909,8.481603172606215,symbol
JAK-STAT,DDX60,55601,6070,12.198233209424696,symbol
JAK-STAT,TRIM21,6737,12527,6.674188117175322,symbol
JAK-STAT,SP110,3431,3796,8.678712721003516,symbol
JAK-STAT,RIGI,23586,10620,12.96537824941593,alias
JAK-STAT,RSAD2,91543,2432,22.898727433412805,symbol
JAK-STAT,STAT1,6772,3546,9.083936566082984,symbol
JAK-STAT,IFI44,10561,946,12.450862527212522,symbol
JAK-STAT,IFIT1,3434,12019,27.85136308886104,symbol
JAK-STAT,IFI44L,10964,945,18.867155888745373,symbol
JAK-STAT,OAS2,4939,14888,9.624826433910476,symbol
JAK-STAT,SP100,6672,3799,4.476509316100021,symbol
JAK-STAT,IFI35,3430,18811,10.598535682064476,symbol
JAK-STAT,MX2,4600,22178,11.818703102625824,symbol
JAK-STAT,SAMHD1,25939,21665,7.133444858969064,symbol
JAK-STAT,ISG15,9636,24,20.039033525061807,symbol
JAK-STAT,DDX60L,91351,6071,7.202283033122158,symbol
JAK-STAT,IFI6,2537,446,12.5796945047128,symbol
JAK-STAT,NMI,9111,3330,7.432654587630982,symbol
JAK-STAT,USP18,11274,22320,12.17801175279867,symbol
JAK-STAT,IFIT3,3437,12017,20.592306560138873,symbol
JAK-STAT,IFI16,3428,1629,7.284513462846863,symbol
JAK-STAT,SAMD9,54809,9084,10.426219160315991,symbol
JAK-STAT,EIF2AK2,5610,2641,5.7230163248751165,symbol
JAK-STAT,XAF1,54739,18207,8.780286115021156,symbol
JAK-STAT,MX1,4599,22179,19.384131266493444,symbol
JAK-STAT,BST2,684,20290,8.104993585472233,symbol
JAK-STAT,IFIH1,64135,3380,8.34769265175166,symbol
JAK-STAT,SLC25A28,81894,12123,3.9334616541440486,symbol
JAK-STAT,SHFL,55337,20072,5.478126049858063,alias
JAK-STAT,RTP4,64108,5169,9.45113967581242,symbol
JAK-STAT,TDRD7,23424,10972,6.56664681954279,symbol
JAK-STAT,IFI27,3429,16196,11.20265458228107,symbol
JAK-STAT,IFIT5,24138,12020,7.948068935223525,symbol
JAK-STAT,IFITM1,8519,12416,13.943094211839188,symbol
JAK-STAT,UBE2L6,9246,12991,8.215585125993922,symbol
JAK-STAT,PML,5371,16809,3.608525276727841,symbol
JAK-STAT,BATF2,116071,13194,8.613495106102707,symbol
JAK-STAT,EPSTI1,94240,15275,12.08161764162436,symbol
JAK-STAT,APOL2,23780,22580,3.656057664879002,symbol
JAK-STAT,OASL,8638,14959,12.710727206366562,symbol
JAK-STAT,LAP3,51056,5425,7.384958867335309,symbol
JAK-STAT,SLC15A3,51296,13067,4.260739183475992,symbol
JAK-STAT,IRF7,3665,12432,8.06937432090483,symbol
JAK-STAT,DHX58,79132,18769,4.909942134787099,symbol
JAK-STAT,HELZ2,85441,21961,4.762151884401938,symbol
JAK-STAT,ADAR,103,1508,3.874928960702245,symbol
JAK-STAT,PARP14,54625,4718,6.397283812786976,symbol
JAK-STAT,TMEM62,80021,16535,2.3069352990793845,symbol
JAK-STAT,TRIM14,9830,10982,3.0379588513996647,symbol
JAK-STAT,SECTM1,6398,19400,5.9932298839983975,symbol
JAK-STAT,RNF114,55905,21817,2.491567548621603,symbol
JAK-STAT,APOL6,80830,22575,6.474920883034865,symbol
JAK-STAT,ETV7,51513,7748,4.779528161895114,symbol
JAK-STAT,TAP2,6891,7670,3.592260360584077,symbol
JAK-STAT,IFIT2,3433,12016,16.18714603519944,symbol
JAK-STAT,PARP9,83666,4715,8.715151859092401,symbol
JAK-STAT,IRF9,10379,15744,7.526584188931556,symbol
JAK-STAT,PHF11,51131,15334,3.8617313364104704,symbol
JAK-STAT,TAP1,6890,7673,9.777638343120818,symbol
JAK-STAT,TRIM5,85363,12578,3.4234903429741017,symbol
JAK-STAT,PSMB8,5696,7671,5.869684020695553,symbol
JAK-STAT,TRIM38,10475,7421,3.4927261463022377,symbol
